Vendedor,Mês,QuantidadeVendida,ValorVendido,TipoPagamento,Parcelas
Clarice Porto,Dezembro,37,68459.83,PIX,
Sra. Elisa das Neves,Agosto,45,30499.8,PIX,
Nicolas Pereira,Setembro,35,36337.38,Cartão de Crédito,6
Ana Sophia Araújo,Julho,48,34195.73,PIX,
Ana Sophia Araújo,Fevereiro,15,28914.47,Dinheiro,
Clarice Porto,Janeiro,49,67489.42,PIX,
Clarice Porto,Janeiro,49,75308.63,PIX,
Dra. Pietra Viana,Novembro,29,53375.61,Cartão de Crédito,6
Enzo Santos,Novembro,32,62118.56,PIX,
Antônio Carvalho,Julho,22,15620.24,Cartão de Crédito,2
Antônio Carvalho,Julho,45,46862.6,Dinheiro,
Enzo Santos,Setembro,3,2892.51,PIX,
Nicolas Pereira,Junho,8,15546.81,PIX,
Sr. Bryan Nascimento,Setembro,1,1349.55,Dinheiro,
Alice da Paz,Julho,4,1825.63,PIX,
Clarice Porto,Agosto,41,38534.99,Cartão de Crédito,2
Nicolas Pereira,Setembro,9,16763.2,PIX,
João Gabriel Monteiro,Dezembro,32,10582.71,Dinheiro,
Clarice Porto,Abril,46,18442.25,Dinheiro,
Ana Sophia Araújo,Setembro,27,7481.63,Cartão de Crédito,4
Sra. Elisa das Neves,Novembro,10,10469.13,Dinheiro,
Nicolas Pereira,Setembro,46,28497.34,PIX,
Alice da Paz,Abril,30,34422.11,PIX,
Sarah Viana,Outubro,33,50092.54,Cartão de Crédito,1
Nicolas Pereira,Julho,22,41251.58,Dinheiro,
Nicolas Pereira,Janeiro,19,28110.44,Dinheiro,
Clarice Porto,Novembro,32,55807.84,PIX,
Dra. Pietra Viana,Agosto,23,16827.63,Dinheiro,
Enzo Santos,Agosto,21,36797.11,Dinheiro,
Sarah Viana,Outubro,25,13594.22,PIX,
Ana Sophia Araújo,Junho,48,47935.43,PIX,
Enzo Santos,Novembro,42,82469.29,PIX,
Ana Sophia Araújo,Março,33,63827.67,PIX,
Sr. Bryan Nascimento,Fevereiro,29,8394.11,PIX,
Ana Sophia Araújo,Dezembro,10,8789.59,Dinheiro,
Vicente Cavalcanti,Fevereiro,31,49131.84,PIX,
Antônio Carvalho,Outubro,45,38484.82,Cartão de Crédito,3
Sr. Bryan Nascimento,Novembro,35,28770.62,PIX,
Emilly Almeida,Dezembro,49,50327.91,Dinheiro,
Ana Sophia Araújo,Outubro,5,2730.32,Dinheiro,
João Gabriel Monteiro,Maio,15,22782.84,PIX,
Sra. Elisa das Neves,Novembro,46,80863.42,PIX,
Vicente Cavalcanti,Dezembro,20,36330.11,Cartão de Crédito,3
Dr. Davi Lucas da Rosa,Janeiro,19,14840.53,PIX,
Vicente Cavalcanti,Abril,34,30018.54,Dinheiro,
Dr. Davi Lucas da Rosa,Março,11,4758.95,Dinheiro,
Sr. Bryan Nascimento,Julho,40,55918.23,PIX,
João Gabriel Monteiro,Outubro,10,5411.58,Dinheiro,
Nicolas Pereira,Agosto,17,23238.96,PIX,
João Gabriel Monteiro,Maio,44,50095.6,Cartão de Crédito,4
Antônio Carvalho,Outubro,20,26279.67,PIX,
Samuel Pereira,Maio,30,51182.32,Cartão de Crédito,4
Sr. Bryan Nascimento,Agosto,7,3854.84,Dinheiro,
Antônio Carvalho,Outubro,19,37736.18,PIX,
Ana Sophia Araújo,Novembro,26,16159.33,Dinheiro,
Sr. Bryan Nascimento,Novembro,50,75743.54,Cartão de Crédito,6
Samuel Pereira,Agosto,19,29904.25,Cartão de Crédito,6
Dr. Davi Lucas da Rosa,Junho,15,19643.61,Dinheiro,
Nicolas Pereira,Novembro,49,72018.43,Dinheiro,
Emilly Almeida,Março,41,11669.07,Dinheiro,
Emilly Almeida,Janeiro,20,31967.2,Cartão de Crédito,6
Antônio Carvalho,Dezembro,9,2441.28,PIX,
Antônio Carvalho,Dezembro,27,11710.34,Cartão de Crédito,6
João Gabriel Monteiro,Junho,34,35815.94,PIX,
Sr. Bryan Nascimento,Março,17,31223.78,PIX,
Dr. Davi Lucas da Rosa,Maio,48,84180.2,Cartão de Crédito,4
Sra. Elisa das Neves,Março,49,94881.17,Dinheiro,
Samuel Pereira,Novembro,26,50383.13,Dinheiro,
Antônio Carvalho,Fevereiro,26,3287.58,Dinheiro,
Sra. Elisa das Neves,Agosto,24,33080.97,Dinheiro,
Nicolas Pereira,Outubro,25,41564.82,PIX,
Sra. Elisa das Neves,Novembro,15,14937.09,Dinheiro,
João Gabriel Monteiro,Setembro,21,38618.71,Cartão de Crédito,12
Sra. Elisa das Neves,Novembro,30,54835.1,PIX,
Emilly Almeida,Julho,8,2924.61,Cartão de Crédito,3
Alice da Paz,Fevereiro,7,3822.84,Dinheiro,
Vicente Cavalcanti,Julho,30,24147.66,Dinheiro,
Samuel Pereira,Setembro,27,32830.56,Dinheiro,
Vicente Cavalcanti,Julho,42,12101.93,PIX,
Clarice Porto,Julho,18,2918.9,PIX,
Sarah Viana,Agosto,29,55275.59,PIX,
Sra. Elisa das Neves,Novembro,24,27227.64,Dinheiro,
Antônio Carvalho,Janeiro,26,16228.54,Cartão de Crédito,4
Sra. Elisa das Neves,Novembro,14,18469.34,Dinheiro,
Ana Sophia Araújo,Janeiro,22,12381.18,Cartão de Crédito,6
Sarah Viana,Fevereiro,49,56496.75,Dinheiro,
Sarah Viana,Abril,22,34568.61,Dinheiro,
Ana Sophia Araújo,Maio,10,19763.02,Dinheiro,
Nicolas Pereira,Março,8,10848.08,Cartão de Crédito,2
Ana Sophia Araújo,Junho,16,19501.13,Cartão de Crédito,2
Nicolas Pereira,Janeiro,9,13583.38,Dinheiro,
Sra. Elisa das Neves,Dezembro,5,5024.34,PIX,
Dra. Pietra Viana,Outubro,7,6711.67,Cartão de Crédito,6
Ana Sophia Araújo,Dezembro,43,46902.56,PIX,
Emilly Almeida,Janeiro,4,7989.26,PIX,
Enzo Santos,Novembro,7,7220.58,PIX,
Sra. Elisa das Neves,Fevereiro,21,26371.07,Cartão de Crédito,2
Nicolas Pereira,Outubro,41,49699.91,Dinheiro,
Antônio Carvalho,Julho,39,43214.26,PIX,
Dra. Pietra Viana,Outubro,28,8076.29,Dinheiro,
Sra. Elisa das Neves,Novembro,42,74240.96,Dinheiro,
Samuel Pereira,Abril,28,26822.72,Cartão de Crédito,4
Antônio Carvalho,Agosto,26,23149.89,Cartão de Crédito,3
Enzo Santos,Junho,43,25124.5,Cartão de Crédito,12
João Gabriel Monteiro,Agosto,5,1366.64,Cartão de Crédito,1
Enzo Santos,Fevereiro,48,72178.2,Cartão de Crédito,6
Ana Sophia Araújo,Outubro,36,42019.14,Dinheiro,
Sra. Elisa das Neves,Julho,23,40476.64,PIX,
Sr. Bryan Nascimento,Dezembro,4,7759.83,Dinheiro,
Nicolas Pereira,Junho,7,8386.32,Cartão de Crédito,2
Emilly Almeida,Agosto,15,25647.33,PIX,
Sr. Bryan Nascimento,Setembro,24,7638.77,PIX,
Clarice Porto,Abril,28,47762.25,Dinheiro,
Clarice Porto,Novembro,42,48627.83,Dinheiro,
João Gabriel Monteiro,Novembro,45,27366.78,Cartão de Crédito,3
Samuel Pereira,Maio,22,16872.78,Cartão de Crédito,2
Clarice Porto,Novembro,26,6037.52,Dinheiro,
Emilly Almeida,Janeiro,6,9105.67,Cartão de Crédito,4
Enzo Santos,Agosto,22,8779.71,PIX,
Samuel Pereira,Junho,50,94433.71,Dinheiro,
Sra. Elisa das Neves,Janeiro,10,3990.79,Dinheiro,
Ana Sophia Araújo,Novembro,6,3701.97,Dinheiro,
Enzo Santos,Agosto,39,36655.47,PIX,
Sarah Viana,Setembro,8,6046.63,Cartão de Crédito,3
Emilly Almeida,Novembro,38,38934.88,Dinheiro,
Nicolas Pereira,Janeiro,15,12765.01,Dinheiro,
Ana Sophia Araújo,Janeiro,14,9417.76,Cartão de Crédito,2
Dr. Davi Lucas da Rosa,Maio,19,13745.22,Cartão de Crédito,4
Samuel Pereira,Julho,12,4145.43,Dinheiro,
Samuel Pereira,Abril,33,38331.97,Dinheiro,
Dr. Davi Lucas da Rosa,Junho,5,4272.18,Dinheiro,
Ana Sophia Araújo,Julho,2,1947.07,Cartão de Crédito,3
Clarice Porto,Julho,37,32130.93,Dinheiro,
Enzo Santos,Maio,8,6956.49,PIX,
Vicente Cavalcanti,Outubro,30,50425.48,PIX,
Sra. Elisa das Neves,Julho,7,3936.11,Dinheiro,
Enzo Santos,Setembro,6,5111.74,PIX,
Samuel Pereira,Junho,15,10992.46,Cartão de Crédito,1
Dra. Pietra Viana,Novembro,8,8865.19,Cartão de Crédito,3
Antônio Carvalho,Dezembro,42,69239.95,Cartão de Crédito,1
Vicente Cavalcanti,Maio,13,5585.43,Cartão de Crédito,12
Sra. Elisa das Neves,Março,50,64655.13,PIX,
Dr. Davi Lucas da Rosa,Outubro,49,58848.48,Dinheiro,
João Gabriel Monteiro,Outubro,42,54896.81,Dinheiro,
Antônio Carvalho,Novembro,21,8123.2,Cartão de Crédito,4
Alice da Paz,Novembro,20,32260.53,Dinheiro,
Ana Sophia Araújo,Junho,33,7951.75,PIX,
Alice da Paz,Janeiro,4,3202.41,PIX,
Sra. Elisa das Neves,Novembro,6,7611.1,Dinheiro,
Enzo Santos,Agosto,38,43821.64,Dinheiro,
João Gabriel Monteiro,Janeiro,29,52988.65,Dinheiro,
Emilly Almeida,Abril,21,26239.73,Dinheiro,
Vicente Cavalcanti,Janeiro,29,8602.95,PIX,
Samuel Pereira,Fevereiro,33,43812.17,Cartão de Crédito,2
Samuel Pereira,Agosto,29,31776.18,Dinheiro,
Vicente Cavalcanti,Junho,24,44257.92,PIX,
Enzo Santos,Junho,44,54383.26,Dinheiro,
Emilly Almeida,Junho,5,3632.06,Dinheiro,
Emilly Almeida,Julho,19,10997.05,Dinheiro,
João Gabriel Monteiro,Outubro,10,7333.88,Dinheiro,
Emilly Almeida,Março,23,15857.13,Dinheiro,
Samuel Pereira,Novembro,26,8970.21,Dinheiro,
Sra. Elisa das Neves,Maio,36,29364.86,PIX,
Sr. Bryan Nascimento,Março,43,61721.28,Dinheiro,
Emilly Almeida,Setembro,6,7964.68,PIX,
Dra. Pietra Viana,Junho,2,1577.87,Cartão de Crédito,2
Antônio Carvalho,Agosto,13,6895.61,Cartão de Crédito,2
Sra. Elisa das Neves,Maio,7,7452.27,Dinheiro,
Sr. Bryan Nascimento,Dezembro,34,5838.49,PIX,
João Gabriel Monteiro,Outubro,9,11112.91,Cartão de Crédito,2
Vicente Cavalcanti,Dezembro,50,64350.35,Cartão de Crédito,12
Alice da Paz,Janeiro,27,21388.56,Dinheiro,
Sarah Viana,Agosto,40,25654.52,Dinheiro,
Dr. Davi Lucas da Rosa,Agosto,15,16719.32,PIX,
Dr. Davi Lucas da Rosa,Agosto,13,10385.67,Dinheiro,
Alice da Paz,Agosto,50,31768.31,PIX,
Dra. Pietra Viana,Setembro,27,52269.56,Cartão de Crédito,6
Vicente Cavalcanti,Maio,4,5272.96,PIX,
Dra. Pietra Viana,Fevereiro,46,78530.98,Cartão de Crédito,3
Sra. Elisa das Neves,Março,18,17166.72,Dinheiro,
Vicente Cavalcanti,Julho,6,11389.11,Cartão de Crédito,4
João Gabriel Monteiro,Junho,2,1776.61,PIX,
Dra. Pietra Viana,Junho,16,13339.45,Cartão de Crédito,3
Sarah Viana,Janeiro,21,39239.95,Dinheiro,
Emilly Almeida,Junho,10,3614.39,PIX,
João Gabriel Monteiro,Agosto,45,75559.95,Dinheiro,
Alice da Paz,Agosto,40,4399.09,Cartão de Crédito,1
Nicolas Pereira,Abril,10,11427.28,Dinheiro,
Clarice Porto,Setembro,28,8715.14,PIX,
Sarah Viana,Maio,8,1525.79,PIX,
Emilly Almeida,Outubro,30,6580.01,PIX,
Clarice Porto,Setembro,2,2601.43,Dinheiro,
Sarah Viana,Dezembro,10,6534.17,Cartão de Crédito,6
Antônio Carvalho,Abril,37,32984.7,Dinheiro,
Emilly Almeida,Fevereiro,34,66362.68,Cartão de Crédito,6
Dra. Pietra Viana,Setembro,33,38045.33,PIX,
Sr. Bryan Nascimento,Agosto,3,3923.32,PIX,
Nicolas Pereira,Dezembro,2,1556.96,Cartão de Crédito,3
Sarah Viana,Dezembro,43,55628.59,Dinheiro,
Samuel Pereira,Junho,9,1658.14,Dinheiro,
Antônio Carvalho,Novembro,12,20132.75,Dinheiro,
Alice da Paz,Dezembro,31,40309.24,Cartão de Crédito,1
Samuel Pereira,Agosto,3,1972.62,Cartão de Crédito,2
João Gabriel Monteiro,Janeiro,21,39341.5,Dinheiro,
Enzo Santos,Setembro,31,18020.18,Dinheiro,
Sarah Viana,Maio,23,39975.45,Cartão de Crédito,12
Antônio Carvalho,Maio,8,12950.0,PIX,
João Gabriel Monteiro,Julho,48,44903.98,PIX,
Antônio Carvalho,Março,32,45277.76,PIX,
João Gabriel Monteiro,Setembro,18,29199.26,Dinheiro,
Enzo Santos,Fevereiro,28,34850.52,Cartão de Crédito,6
Nicolas Pereira,Junho,7,1764.92,Dinheiro,
Nicolas Pereira,Maio,29,36104.45,PIX,
Vicente Cavalcanti,Dezembro,29,22270.24,Cartão de Crédito,12
Sr. Bryan Nascimento,Junho,40,79859.45,PIX,
Emilly Almeida,Janeiro,5,6876.25,PIX,
Antônio Carvalho,Setembro,48,66762.25,Cartão de Crédito,2
Sr. Bryan Nascimento,Outubro,44,69717.68,Cartão de Crédito,2
Sra. Elisa das Neves,Abril,50,66290.47,PIX,
Enzo Santos,Outubro,3,3749.04,Dinheiro,
Alice da Paz,Junho,24,22643.63,Cartão de Crédito,6
Vicente Cavalcanti,Setembro,24,20550.35,Dinheiro,
Nicolas Pereira,Abril,8,1193.88,Cartão de Crédito,4
Dra. Pietra Viana,Julho,36,11654.85,PIX,
Samuel Pereira,Agosto,14,27903.31,PIX,
Samuel Pereira,Agosto,13,4329.14,Cartão de Crédito,4
Vicente Cavalcanti,Dezembro,29,57849.16,Dinheiro,
Sr. Bryan Nascimento,Junho,43,32684.65,Cartão de Crédito,6
Dra. Pietra Viana,Maio,20,34351.76,Dinheiro,
Samuel Pereira,Dezembro,41,17661.69,PIX,
Dra. Pietra Viana,Abril,8,15774.01,Cartão de Crédito,2
Dr. Davi Lucas da Rosa,Agosto,2,1571.41,Dinheiro,
Antônio Carvalho,Agosto,36,12476.35,Cartão de Crédito,1
Nicolas Pereira,Julho,46,67429.21,Dinheiro,
Enzo Santos,Julho,37,8884.68,PIX,
Emilly Almeida,Fevereiro,29,28567.41,Dinheiro,
Antônio Carvalho,Março,50,57373.83,Dinheiro,
Vicente Cavalcanti,Março,28,29552.35,Cartão de Crédito,1
Dra. Pietra Viana,Março,20,8256.97,PIX,
João Gabriel Monteiro,Dezembro,15,11361.66,Dinheiro,
João Gabriel Monteiro,Maio,6,3456.9,Dinheiro,
Dra. Pietra Viana,Maio,9,11587.88,Dinheiro,
Dra. Pietra Viana,Fevereiro,33,43489.91,Dinheiro,
Clarice Porto,Março,11,14867.52,Dinheiro,
João Gabriel Monteiro,Outubro,22,37417.75,Dinheiro,
Ana Sophia Araújo,Janeiro,6,1118.26,Dinheiro,
Dr. Davi Lucas da Rosa,Outubro,17,22731.5,Dinheiro,
Enzo Santos,Outubro,41,6459.27,Dinheiro,
Dra. Pietra Viana,Maio,42,80540.68,PIX,
Sarah Viana,Novembro,26,17293.23,Cartão de Crédito,12
Ana Sophia Araújo,Março,29,25800.76,PIX,
Sarah Viana,Junho,39,14545.85,Dinheiro,
Antônio Carvalho,Dezembro,23,44923.85,Cartão de Crédito,3
Dra. Pietra Viana,Setembro,7,4944.24,PIX,
Sra. Elisa das Neves,Maio,29,16560.33,Cartão de Crédito,1
Nicolas Pereira,Julho,40,35778.24,Cartão de Crédito,3
João Gabriel Monteiro,Outubro,47,32625.44,Cartão de Crédito,4
Dra. Pietra Viana,Agosto,32,56647.8,PIX,
Ana Sophia Araújo,Fevereiro,26,27568.96,Cartão de Crédito,2
Clarice Porto,Junho,4,784.11,PIX,
Clarice Porto,Novembro,44,43741.06,Dinheiro,
Ana Sophia Araújo,Fevereiro,28,9925.34,PIX,
